Subject,Condition,RC,CE,probeACC,probeRT
6,4,NonRC,CE,1,1436.157622
6,1,RC,NonCE,1,2120.081425
6,4,NonRC,CE,1,2819.534364
6,4,NonRC,CE,0,1852.101737
6,3,RC,CE,0,1701.984497
6,1,RC,NonCE,1,3171.22984
6,4,NonRC,CE,1,1786.627203
6,3,RC,CE,1,3205.06763
6,1,RC,NonCE,1,1919.862341
6,4,NonRC,CE,0,2220.231315
6,3,RC,CE,1,1419.696003
6,3,RC,CE,0,2386.019604
6,3,RC,CE,1,1803.202291
6,2,NonRC,NonCE,0,1669.673742
6,3,RC,CE,1,1653.131736
6,4,NonRC,CE,1,2570.531466
6,3,RC,CE,1,2803.062542
6,2,NonRC,NonCE,1,2453.851938
6,1,RC,NonCE,1,2902.756393
6,1,RC,NonCE,1,1603.23055
6,4,NonRC,CE,0,2537.545156
6,1,RC,NonCE,1,1252.572988
6,2,NonRC,NonCE,0,1769.773854
6,1,RC,NonCE,1,1168.008504
6,1,RC,NonCE,1,1969.963876
6,3,RC,CE,0,2236.883389
6,2,NonRC,NonCE,1,3321.253399
6,2,NonRC,NonCE,1,2053.332764
6,3,RC,CE,1,3421.517686
6,1,RC,NonCE,1,1237.744143
6,1,RC,NonCE,0,0
6,2,NonRC,NonCE,1,1269.309467
6,3,RC,CE,1,2353.58456
6,4,NonRC,CE,0,1552.857865
6,1,RC,NonCE,1,1035.722545
6,2,NonRC,NonCE,1,1602.955999
6,4,NonRC,CE,1,1369.839957
6,1,RC,NonCE,1,1736.350055
6,4,NonRC,CE,0,1819.058847
6,4,NonRC,CE,1,1586.288157
6,3,RC,CE,0,1502.772099
6,3,RC,CE,1,1868.775144
6,3,RC,CE,0,1436.216057
6,4,NonRC,CE,1,2253.871849
6,4,NonRC,CE,1,1919.972718
6,1,RC,NonCE,1,2553.803953
6,4,NonRC,CE,1,2837.572178
6,4,NonRC,CE,1,1402.573359
6,1,RC,NonCE,1,1135.889131
6,1,RC,NonCE,1,2420.433395
6,3,RC,CE,1,1586.354012
6,1,RC,NonCE,1,1117.975916
6,4,NonRC,CE,0,1835.445026
6,2,NonRC,NonCE,1,1402.678171
6,2,NonRC,NonCE,1,1753.030573
6,4,NonRC,CE,1,1819.741514
6,1,RC,NonCE,1,1352.882414
6,4,NonRC,CE,1,1919.833278
6,2,NonRC,NonCE,0,2737.317476
6,2,NonRC,NonCE,1,1769.717893
6,1,RC,NonCE,0,2203.51988
6,1,RC,NonCE,1,1836.557452
6,4,NonRC,CE,1,1486.146306
6,2,NonRC,NonCE,1,1352.71453
6,3,RC,CE,0,1452.846797
6,3,RC,CE,1,1402.730113
6,3,RC,CE,0,1653.01363
6,2,NonRC,NonCE,1,1152.338074
6,2,NonRC,NonCE,1,1452.857927
6,1,RC,NonCE,0,2337.128506
6,4,NonRC,CE,1,2203.481851
6,3,RC,CE,0,1369.277869
6,1,RC,NonCE,1,1302.597846
6,3,RC,CE,1,2270.197429
6,4,NonRC,CE,1,1135.856049
6,4,NonRC,CE,0,1986.590905
6,4,NonRC,CE,1,2220.317886
6,4,NonRC,CE,1,1434.996346
6,2,NonRC,NonCE,0,1869.820169
6,1,RC,NonCE,0,2303.720166
6,1,RC,NonCE,1,1319.684934
6,4,NonRC,CE,1,985.6389432
6,2,NonRC,NonCE,0,1302.729556
6,3,RC,CE,1,2420.633743
6,2,NonRC,NonCE,1,1336.032157
6,2,NonRC,NonCE,1,2086.854573
6,4,NonRC,CE,1,1518.44222
6,3,RC,CE,1,952.3579848
6,4,NonRC,CE,1,2053.375122
6,2,NonRC,NonCE,1,1653.111949
6,2,NonRC,NonCE,1,2070.132007
6,2,NonRC,NonCE,1,1219.232358
6,3,RC,CE,1,2303.524146
6,2,NonRC,NonCE,1,1069.057919
6,3,RC,CE,1,2036.783338
6,1,RC,NonCE,1,1502.822495
6,1,RC,NonCE,0,2236.879988
6,1,RC,NonCE,1,1819.930732
6,3,RC,CE,1,1452.843396
6,2,NonRC,NonCE,1,2219.44229
6,4,NonRC,CE,1,1219.123218
6,3,RC,CE,1,1252.661413
6,4,NonRC,CE,0,2120.155319
6,1,RC,NonCE,1,1185.929448
6,2,NonRC,NonCE,1,1918.86462
6,4,NonRC,CE,1,1419.463809
6,1,RC,NonCE,1,1453.092594
6,2,NonRC,NonCE,1,1202.391067
8,2,NonRC,NonCE,0,3388.069152
8,3,RC,CE,1,2720.672205
8,3,RC,CE,1,1953.397135
8,3,RC,CE,1,1885.654155
8,1,RC,NonCE,1,3705.102567
8,1,RC,NonCE,1,1819.628354
8,4,NonRC,CE,1,1369.489348
8,2,NonRC,NonCE,1,3755.051985
8,4,NonRC,CE,0,0
8,4,NonRC,CE,0,0
8,3,RC,CE,1,1302.623199
8,4,NonRC,CE,0,2253.553704
8,3,RC,CE,1,2453.756711
8,4,NonRC,CE,1,1819.818809
8,2,NonRC,NonCE,0,1069.033803
8,3,RC,CE,1,2020.226183
8,1,RC,NonCE,1,2386.953634
8,2,NonRC,NonCE,0,2186.745062
8,3,RC,CE,1,2737.525244
8,4,NonRC,CE,1,1819.823756
8,4,NonRC,CE,1,1269.207747
8,3,RC,CE,1,1185.794337
8,1,RC,NonCE,0,2870.885291
8,2,NonRC,NonCE,1,952.3845742
8,1,RC,NonCE,1,885.4899807
8,1,RC,NonCE,1,1519.460656
8,1,RC,NonCE,1,985.6553297
8,2,NonRC,NonCE,1,1902.917784
8,3,RC,CE,0,2937.707227
8,1,RC,NonCE,1,3071.083969
8,1,RC,NonCE,1,3070.026886
8,1,RC,NonCE,1,2620.632382
8,3,RC,CE,0,0
8,1,RC,NonCE,1,2036.695222
8,3,RC,CE,0,2237.104143
8,2,NonRC,NonCE,0,1034.642892
8,4,NonRC,CE,0,2687.429894
8,4,NonRC,CE,1,1652.97591
8,2,NonRC,NonCE,1,1352.63538
8,2,NonRC,NonCE,1,668.6228424
8,1,RC,NonCE,1,651.944798
8,4,NonRC,CE,1,1369.317135
8,3,RC,CE,1,1202.619859
8,4,NonRC,CE,0,1034.607646
8,3,RC,CE,1,2370.39988
8,1,RC,NonCE,1,902.2193489
8,2,NonRC,NonCE,1,752.0347072
8,4,NonRC,CE,1,2254.1161
8,2,NonRC,NonCE,1,1269.235883
8,1,RC,NonCE,1,2202.813715
8,1,RC,NonCE,0,735.4166434
8,2,NonRC,NonCE,1,1569.602693
8,2,NonRC,NonCE,1,902.3927983
8,3,RC,CE,1,1418.504736
8,4,NonRC,CE,1,2787.459204
8,3,RC,CE,0,0
