Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,4,0,1,3,263,254,633.883404,867.541911,417.08411,367.034548,483.806449,483.805831,4,4,2,4,3,2,f,1,751.898513
1,1,1,1,0,257,262,767.422382,500.550029,433.78997,467.053594,600.651316,417.055047,4,4,1,3,3,4,j,1,1069.442495
1,4,1,2,1,195,263,700.883695,517.002981,567.183325,400.484916,450.495212,383.693104,4,3,3,2,3,4,j,1,601.530312
1,1,1,3,1,345,264,834.255408,667.238854,400.391853,300.30788,350.343219,467.132434,4,4,1,3,3,3,j,1,818.712987
2,2,3,1,2,267,245,200.184023,183.55453,183.488057,200.205975,400.31394,366.95478,3,4,3,3,2,3,j,1,1586.016954
2,2,1,2,1,246,246,183.482492,166.825482,166.210834,167.47352,400.385051,350.367026,4,3,4,3,3,2,j,1,1085.96223
1,4,2,2,1,225,268,483.98701,700.540197,467.138309,333.662712,383.727423,417.088438,3,4,3,4,3,3,j,1,651.751467
1,4,2,1,1,303,272,717.204009,584.107775,416.44411,317.526668,417.118119,350.338582,3,4,3,4,3,2,j,1,601.560611
2,2,2,1,6,271,247,183.468579,183.655941,183.414163,166.857636,166.78838,417.071433,3,2,3,4,3,3,f,1,851.949713
1,4,0,1,0,219,275,583.846519,734.069406,583.464683,434.216018,383.78493,500.452947,4,4,2,2,4,4,j,1,1084.714075
1,1,0,1,3,324,277,700.779811,500.409353,283.697556,500.434705,517.188798,400.383815,4,2,3,4,3,5,f,1,701.778459
2,2,1,3,1,201,248,233.55184,216.855874,233.597599,233.55184,266.997261,383.525838,4,3,3,3,4,3,j,1,1218.991063
1,4,0,2,3,252,283,667.201752,500.455111,484.017927,400.32909,383.735771,500.481082,4,4,3,2,3,4,f,1,667.713134
1,4,3,3,2,299,285,533.926812,433.720095,500.574454,350.359915,500.580638,433.663516,3,3,3,4,3,3,j,1,685.159787
1,1,0,3,4,351,286,583.964007,317.031673,300.242025,233.466507,350.514504,367.074432,4,3,3,4,3,3,f,1,785.303431
1,4,3,1,2,238,287,433.74081,834.194809,350.243973,317.047441,767.367967,367.009505,3,3,3,4,2,4,j,1,768.53388
1,4,3,0,7,208,291,850.774215,600.610814,583.908973,567.229084,400.396182,450.543753,3,3,3,4,3,4,f,1,584.793843
1,4,2,0,1,295,294,550.616595,550.556924,383.712582,467.139545,417.079781,467.236318,3,4,3,3,2,2,j,1,1052.202064
2,2,0,0,3,327,252,316.964272,183.509699,182.955032,184.103013,183.459303,367.020944,4,3,3,4,3,3,f,1,1102.105693
2,2,2,0,1,203,253,216.948627,166.83352,216.967178,317.020542,300.200904,216.783217,3,3,2,4,2,3,j,1,1252.402783
1,4,1,1,5,256,305,617.271225,417.116573,333.597475,283.622117,400.44596,333.583562,4,3,2,4,3,3,f,1,701.722806
1,1,1,3,5,279,308,650.674906,567.262166,700.642226,450.463057,567.235576,433.905294,4,2,3,3,3,3,f,1,835.271988
