type,stimulusNo,sentence,probe,CorrAns,pType,cType,gType
3,222,은숙이가 진수가 광고를 실은 신문을 골랐다,은숙이가 신문을 실었다.,f,5,1,3
7,223,태식이가 간부의 지시로 낮에 트럭 옆에서 더러운 옷을 급하게 태웠다,옷을 태운 사람은 태식이다.,j,,,
5,224,상은이가 벽에 멋진 그림을 직접 걸었다,그림을 직접 건 사람은 상은이다.,j,0,1,4
3,225,민재가 현우가 의문을 제기한 사항을 물었다,현우가 의문을 해결했다.,f,8,3,1
5,226,승연이가 문학을 새롭게 규정한 시집을 구입했다,시집을 구입한 사람은 민선이다.,f,6,1,4
5,227,준우가 다소 자유로운 차림으로 강의에 들어왔다,준우가 강의에 들어왔다.,j,2,3,5
5,228,현민이가 환경 정책의 실시를 강력히 촉구했다,현민이가 정책의 실시를 촉구했다.,j,2,0,5
1,229,은혜가 열쇠를 준 미영이가 잠을 잤다,열쇠를 준 사람은 혜지다.,f,6,2,0
5,230,라연이가 마침내 고집을 꺾고 산에 머물렀다,산에 머무른 사람은 라연이다.,j,0,0,4
5,231,채리가 가까운 곳에 경찰을 전부 동원했다,채리가 동원한 것은 인재다.,f,7,2,4
7,232,주혁이가 일주일 전부터 매일 새로운 경찰서 건설 회의에 열심히 참석했다,주혁이가 회의를 무시했다.,f,,,
3,233,춘화가 철호가 영업을 뛰어든 업체를 반대했다,춘화가 업체를 방문했다.,f,8,3,3
3,234,라희가 재원이가 돈을 제공한 기준을 몰랐다,라희가 몰랐던 것은 돈이다.,f,7,2,3
5,235,순애가 기업에서 사용할 예산을 겨우 준비했다,순애가 준비한 것은 예산이다.,j,1,2,4
5,236,주철이가 곤란한 표정을 짓자 교사가 쳐다보았다,교사가 쳐다본 사람은 주철이다.,j,0,0,5
5,237,경찬이가 책상을 버리고 깨끗한 냉장고를 사왔다,경찬이가 냉장고를 버렸다.,f,5,1,5
5,238,보람이가 숲을 가로질러 작은 마을에 도착했다,보람이가 마을을 가로질렀다.,f,5,1,4
5,239,창원이가 소비를 줄이고 안정된 재정을 확보했다,창원이가 재정을 줄였다.,f,5,1,5
